¤u¼t¦WºÙ,¤u¼tµn°O½s¸¹,¤u¼t³]¥ß³\¥i®×¸¹,¤u¼t¦a§},¤u¼t¥«Âí¶m§ø¨½,¤u¼t­t³d¤H©m¦W,²Î¤@½s¸¹,¤u¼t²ÕÂ´«¬ºA,¤u¼t³]¥ß®Ö­ã¤é´Á,¤u¼tµn°O®Ö­ã¤é´Á,¤u¼tµn°Oª¬ºA,²£·~Ãþ§O,¥D­n²£«~
³¯ªü©ú¥ø·~¦³­­¤½¥q¦w©w¼t,S6700429,,»O«n¥«¦w©w°Ï¤»¹Å¨½¤»¶ô¼d97¤§25¸¹,»O«n¥«¦w©w°Ï¤»¹Å¨½,³¯¯Õ»Ê,86992578,¦³­­¤½¥q,,1090825,¥Í²£¤¤,25ª÷ÄÝ»s«~»s³y·~,259¨ä¥Lª÷ÄÝ»s«~
©M¶§­¹«~¥ø·~ªÑ¥÷¦³­­¤½¥q¬hÀç¼t,S6700430,,»O«n¥«¬hÀç°Ï¤K¯Î¨½¤K¦Ñ·Ý110¸¹,»O«n¥«¬hÀç°Ï¤K¯Î¨½,³¯·ç¶³,16577514,ªÑ¥÷¦³­­¤½¥q,,1090825,¥Í²£¤¤,08­¹«~»s³y·~¡B09¶¼®Æ»s³y·~,089¨ä¥L­¹«~¡B092«D°sºë¶¼®Æ
¨È¤ÓÐA¬ì§Þ¦³­­¤½¥q,S0400074,,·s¦Ë¿¤Ë|ªL¶m¨q´ò§ø´IªL¸ô¤@¬q109¸¹,·s¦Ë¿¤Ë|ªL¶m¨q´ò§ø,·¨©¾´¼,27268677,¦³­­¤½¥q,,1090831,¥Í²£¤¤,29¾÷±ñ³]³Æ»s³y·~¡B29¾÷±ñ³]³Æ»s³y·~,292¨ä¥L±M¥Î¾÷±ñ³]³Æ
«a©Ó¤u·~¦³­­¤½¥q,66008467,,»O¤¤¥«¼æ¤l°Ï¼æ¨q¨½¼æ´I¸ô¤@¬q144«Ñ30¸¹,»O¤¤¥«¼æ¤l°Ï¼æ¨q¨½,¼B«a§Ó,83595908,¦³­­¤½¥q,,1090821,¥Í²£¤¤,25ª÷ÄÝ»s«~»s³y·~¡B31¨ä¥L¹B¿é¤u¨ã¤Î¨ä¹s¥ó»s³y·~,259¨ä¥Lª÷ÄÝ»s«~¡B313¦Û¦æ¨®¤Î¨ä¹s¥ó
´¼´f¬ì§Þ¶}µoªÑ¥÷¦³­­¤½¥q,99692136,,·s¥_¥«¾ðªL°Ï¦`¥Í¨½«T¦wµó¤»¤»«Ñ¤@¢¯¸¹,·s¥_¥«¾ðªL°Ï¦`¥Í¨½,¤BÄR»ñ,80624577,¦³­­¤½¥q,,930218,¥Í²£¤¤,25ª÷ÄÝ»s«~»s³y·~¡B29¾÷±ñ³]³Æ»s³y·~,259¨ä¥Lª÷ÄÝ»s«~¡B293³q¥Î¾÷±ñ³]³Æ¡B251ª÷ÄÝ¤M¨ã¡B¤â¤u¨ã¤Î¼Ò¨ã
¤~¿³ºë±K¾÷±ñ¼t,99660756,8.81001E+12,»O«n¥«¥Ã±d°Ï?¦æ¨½¥¿«n¤T¸ô158¸¹,»O«n¥«¥Ã±d°Ï?¦æ¨½,ÁÂ´º®p¡@,17247610,¿W¸ê,880322,880922,¥Í²£¤¤,25ª÷ÄÝ»s«~»s³y·~¡B29¾÷±ñ³]³Æ»s³y·~,259¨ä¥Lª÷ÄÝ»s«~¡B293³q¥Î¾÷±ñ³]³Æ
¤éµq³y¯È¤u·~ªÑ¥÷¦³­­¤½¥qÆ[­µ¼t,99621997,6.81E+12,®ç¶é¥«Æ[­µ°Ï¾ðªL¨½¤@¤T¾F°ê«Ø¤T¸ô¤­¸¹,®ç¶é¥«Æ[­µ°Ï¾ðªL¨½,ªL­õ¼z¡@¡@¡@,24001900,ªÑ¥÷¦³­­¤½¥q,681211,860911,¥Í²£¤¤,15¯È¼ß¡B¯È¤Î¯È»s«~»s³y·~,151¯È¼ß¡B¯È¡B¯ÈªO
µ¤Â×«Ø§÷¹ê·~,S6700214,,»O«n¥«¦w©w°Ï¤¤¨F¨½¤¤±[74¤§1¸¹,»O«n¥«¦w©w°Ï¤¤¨F¨½,·¨¿þ³ù,74955705,¦X¹Ù,,1090713,¥Í²£¤¤,23«Dª÷ÄÝÄqª«»s«~»s³y·~,232­@¤õ¡BÂH¤g«Ø§÷¤Î¨ä¥L³³²¡»s«~
ºû¨à¥ø·~¦³­­¤½¥q,S6700392,,»O«n¥«¦w©w°Ï·s¦N¨½·s¦N56¤§168¸¹,»O«n¥«¦w©w°Ï·s¦N¨½,±çÁo½å,70667702,¦³­­¤½¥q,,1090810,¥Í²£¤¤,29¾÷±ñ³]³Æ»s³y·~,292¨ä¥L±M¥Î¾÷±ñ³]³Æ
®¶·z¦³­­¤½¥q,67002992,,»O«n¥«³Â¨§°Ï¼d?¨½¼d¤l?166¤§40¸¹,»O«n¥«³Â¨§°Ï¼d?¨½,ªL©ø¦N,64904067,¦³­­¤½¥q,,1100423,¥Í²£¤¤,25ª÷ÄÝ»s«~»s³y·~,259¨ä¥Lª÷ÄÝ»s«~
