sampledate,areaname,county,siteid,sitename,sampleaddress,sampleitem,samplevalue,itemunit
2022/02/14,花東空品區,台東縣,62,台東站,台東縣政府,戴奧辛,0.00602230142566192,"pg I-TEQ/m3"
2022/02/08,花東空品區,花蓮縣,63,花蓮站,中正國小,戴奧辛,0.0110679,"pg I-TEQ/m3"
2022/02/08,宜蘭空品區,宜蘭縣,65,宜蘭站,復興國中,戴奧辛,0.0038283,"pg I-TEQ/m3"
2022/02/07,高屏空品區,屏東縣,59,屏東站,中正國小,戴奧辛,0.0361263374485597,"pg I-TEQ/m3"
2022/02/07,高屏空品區,高雄市,53,楠梓站,楠梓國小,戴奧辛,0.026798240339907,"pg I-TEQ/m3"
2022/02/07,雲嘉南空品區,高雄市,49,仁武站,八卦國小,戴奧辛,0.02657170781893,"pg I-TEQ/m3"
2022/02/21,雲嘉南空品區,台南市,46,台南站,中山國中,戴奧辛,0.0228486373928514,"pg I-TEQ/m3"
2022/02/21,雲嘉南空品區,台南市,43,新營站,新營國小,戴奧辛,0.0255845905172414,"pg I-TEQ/m3"
2022/02/21,雲嘉南空品區,嘉義市,42,嘉義站,嘉義大學新民校區,戴奧辛,0.110216115900383,"pg I-TEQ/m3"
2022/02/21,雲嘉南空品區,嘉義縣,39,新港站,新港國小,戴奧辛,0.0226184581320451,"pg I-TEQ/m3"
2022/02/14,中部空品區,雲林縣,38,崙背站,崙背國中,戴奧辛,0.0228807,"pg I-TEQ/m3"
2022/02/14,中部空品區,彰化縣,33,彰化站,延平社區活動中心,戴奧辛,0.0168441,"pg I-TEQ/m3"
2022/02/14,中部空品區,南投縣,36,南投站,康壽國小,戴奧辛,0.015222,"pg I-TEQ/m3"
2022/02/14,中部空品區,台中市,32,西屯站,啟聰學校,戴奧辛,0.0137607,"pg I-TEQ/m3"
2022/02/14,中部空品區,台中市,30,大里站,大里大新圖書館,戴奧辛,0.0170559,"pg I-TEQ/m3"
2022/02/14,竹苗空品區,苗栗縣,26,苗栗站,苗栗縣議會,戴奧辛,0.0092196,"pg I-TEQ/m3"
2022/02/14,竹苗空品區,新竹市,24,新竹站,東門國小,戴奧辛,0.0132983,"pg I-TEQ/m3"
2022/02/14,北部空品區,新竹縣,22,湖口站,信勢國小,戴奧辛,0.0392175,"pg I-TEQ/m3"
2022/02/14,北部空品區,桃園市,17,桃園站,西門國小,戴奧辛,0.0070968,"pg I-TEQ/m3"
2022/02/14,北部空品區,台北市,15,松山站,松山國小,戴奧辛,0.0065182,"pg I-TEQ/m3"
2022/02/08,北部空品區,新北市,2,汐止站,忠厚市場,戴奧辛,0.0050063,"pg I-TEQ/m3"
2022/02/08,北部空品區,新北市,3,萬里站,萬里綜合商場,戴奧辛,0.0040139,"pg I-TEQ/m3"
2021/08/23,花東空品區,台東縣,62,台東站,台東縣政府,戴奧辛,0.006,"pg I-TEQ/m3"
2021/08/16,花東空品區,花蓮縣,63,花蓮站,中正國小,戴奧辛,0.005386,"pg I-TEQ/m3"
2021/08/16,宜蘭空品區,宜蘭縣,65,宜蘭站,復興國中,戴奧辛,0.0090952,"pg I-TEQ/m3"
2021/08/02,高屏空品區,屏東縣,59,屏東站,中正國小,戴奧辛,0.014,"pg I-TEQ/m3"
2021/08/02,高屏空品區,高雄市,53,楠梓站,楠梓國小,戴奧辛,0.007,"pg I-TEQ/m3"
2021/08/02,雲嘉南空品區,高雄市,49,仁武站,八卦國小,戴奧辛,0.014,"pg I-TEQ/m3"
2021/08/28,雲嘉南空品區,台南市,46,台南站,中山國中,戴奧辛,0.0005,"pg I-TEQ/m3"
2021/08/27,雲嘉南空品區,台南市,43,新營站,新營國小,戴奧辛,0.015,"pg I-TEQ/m3"
