incineratorname,reportyear,generalwaste,bizgeneralwaste,incinprocqt,buttomdustqt,flyashsolidqt,eqeffgasacqt,actelecqt,actsoldelecqt,actsoldelecpct,soldelecincome,operationhour,nooprthour,dsnprocqt,dustlandfillqt,applyno
臺南市城西垃圾焚化廠,2021,153833.4,41843.99,193684.9,27273.86,6128.24,53858.47,103635.6,79024.32,76.252000,123132.8,15930,1590,,6128.24,WEPD3244
臺南市城西垃圾焚化廠,2020,139874.4,38358.01,182979.8,24663.91,3871.35,50351.85,83118.96,59322.96,71.371000,111886.7,14709,2859,,3871.35,WEPD3244
臺南市城西垃圾焚化廠,2019,156314,38812.52,202776.7,26891.15,7699.94,53467.17,84644.64,58323.84,68.904000,107366.8,16267,1253,,7699.94,WEPD3244
臺南市城西垃圾焚化廠,2018,192790.6,11088.53,207377.2,29051.95,12133.06,52411.75,85689.6,58723.44,68.530000,105099.1,16285,1235,,12133.06,WEPD3244
臺南市城西垃圾焚化廠,2017,154104,35112.9,197946,27341.59,12745.62,50743.95,83150.16,57266.16,68.871000,95053.11,15472,2048,,12745.62,WEPD3244
臺南市城西垃圾焚化廠,2016,175692.6,41778.25,219850.9,34193.97,12914.7,56756.82,92339.52,66555.6,72.077000,118529.9,16127,1441,,12914.7,WEPD3244
臺南市城西垃圾焚化廠,2015,176897.9,38637,221728.8,35251.65,16566.73,56447.67,93911.04,68505.36,72.947000,145614.9,16264,1256,,16566.73,WEPD3244
臺南市城西垃圾焚化廠,2014,163391.8,46670.7,219334.7,33344.05,16577.8,61901.37,91008.24,65792.88,72.293000,142770.7,15834,1686,,16577.8,WEPD3244
臺南市城西垃圾焚化廠,2013,171542.6,39661.56,216011.4,34677.35,15117.42,55352.64,91037.52,65928.48,72.419000,133975,15929,1591,,15117.42,WEPD3244
臺南市城西垃圾焚化廠,2012,199637.5,27353.93,231140.9,37857.78,10991.74,62845.36,94903.3,69144.96,72.858000,129508.1,16069,1499,,13276.69,WEPD3244
臺南市城西垃圾焚化廠,2011,199954.3,25470.5,222657.9,37049.62,2540.557,66361.34,91025.38,65393.85,71.841000,119766.5,16245,1275,,2540.557,WEPD3244
臺南市城西垃圾焚化廠,2010,220763.3,19722.65,232997.4,36689.91,9903.825,64073.86,98046.48,71701.44,73.130000,132727.6,16189,1331,,9903.825,WEPD3244
臺南市城西垃圾焚化廠,2009,207738,11392.73,208804.1,35006.42,797.127,61152.32,95263.33,69159.84,72.599000,131650.6,16325,1195,,797.127,WEPD3244
臺南市城西垃圾焚化廠,2008,198431.9,16637.46,204641.4,35995.6,0,59956.13,95286.24,69481.12,72.918000,114249,16251,1317,,10966.42,WEPD3244
臺南市城西垃圾焚化廠,2007,180922.4,28136.11,205694.7,32700.52,0,61248.22,94336.2,70803.83,75.055000,97308.46,15566,1954,,32700.52,WEPD3244
臺南市城西垃圾焚化廠,2006,187784,21563.59,204082.1,31207.04,30062.46,59654.02,90055.64,65267.76,72.475000,90116.27,15191,2329,,31207.04,WEPD3244
臺南市城西垃圾焚化廠,2005,185927.3,30067.53,220720.9,32417.47,355.82,65187.54,102539,77138.96,75.229000,96807.45,15883,1637,,32417.47,WEPD3244
臺南市城西垃圾焚化廠,2004,197523.6,33812.77,239360.9,33549.74,0,68073.25,108951.8,83825.92,76.939000,104272.5,16289,1279,,33549.74,wepd3244
臺南市城西垃圾焚化廠,2003,174718,31870.47,221377,32443.44,6668.22,65801.82,105707.1,81430.69,77.034000,103942.5,15808,1712,,20930.52,wepd3244
臺南市永康垃圾資源回收(焚化)廠,2021,218876.9,48406.03,267344.6,32328.88,11181.01,109067,146957.6,122568.5,83.404000,246285.2,16158,1362,,11181.01,WEPR8506
臺南市永康垃圾資源回收(焚化)廠,2020,233482.8,53953.36,276346.5,34376.24,12251.04,110375,165099.4,139234.3,84.334000,264363.3,16352,1216,,12251.04,WEPR8506
臺南市永康垃圾資源回收(焚化)廠,2019,251259.6,37512.73,281752.1,35410.86,12205.42,109699,164791.4,138873.9,84.273000,256337.8,16277,1243,,12205.42,WEPR8506
臺南市永康垃圾資源回收(焚化)廠,2018,263468,29197.77,288355.8,34446.95,11468.16,109990,164104.8,138964.3,84.680000,268745.6,16293,1227,,11468.16,WEPR8506
臺南市永康垃圾資源回收(焚化)廠,2017,266958,25203.94,289757.4,35987.77,12034.4,109330,135770.9,114070.3,84.017000,203278.3,16194,1326,,12034.4,WEPR8506
臺南市永康垃圾資源回收(焚化)廠,2016,233374,62607.07,295588.2,38381.9,12065.54,110960,154520.1,128844.2,83.383000,243522.9,16470,1098,,12065.54,WEPR8506
臺南市永康垃圾資源回收(焚化)廠,2015,228254.4,66251.62,293469.8,38655.12,13056.2,110499,147672.4,121816.7,82.491000,268559.7,16370,1150,,13056.2,WEPR8506
臺南市永康垃圾資源回收(焚化)廠,2014,232934.9,65630.25,297633.8,38156.5,12854.61,111374,150761.3,124950,82.879000,288381.1,16500,1020,,12854.61,WEPR8506
臺南市永康垃圾資源回收(焚化)廠,2013,240464.4,65710.88,302780.2,39413.72,13945.17,110937,152460.9,125322.8,82.200000,265617.8,16435,1085,,13945.17,WEPR8506
臺南市永康垃圾資源回收(焚化)廠,2012,234497.1,67924.23,301253.9,40181.52,13381.27,111079,150022.2,122976,81.972000,236481.1,16466,1102,,13381.27,WEPR8506
臺南市永康垃圾資源回收(焚化)廠,2011,231150.8,72689.4,301240.8,42093.2,13469.46,111731,148571.5,120623,81.188000,231737.3,16545,975,,13469.46,WEPR8506
臺南市永康垃圾資源回收(焚化)廠,2010,218123.1,75840.93,299009.3,51739.81,13501.26,110334,134310.7,106278.5,79.129000,202931.1,16366,1154,,53102.67,WEPR8506
臺南市永康垃圾資源回收(焚化)廠,2009,257482,67708.03,301791.1,45514.17,11554.9,111880,145041.1,113996.5,78.596000,215747.8,16566,954,,57069.07,WEPR8506
