incineratorname,reportyear,generalwaste,bizgeneralwaste,incinprocqt
臺南市城西垃圾焚化廠,2021,153833.4,41843.99,193684.9
臺南市城西垃圾焚化廠,2020,139874.4,38358.01,182979.8
臺南市城西垃圾焚化廠,2019,156314,38812.52,202776.7
臺南市城西垃圾焚化廠,2018,192790.6,11088.53,207377.2
臺南市城西垃圾焚化廠,2017,154104,35112.9,197946
臺南市城西垃圾焚化廠,2016,175692.6,41778.25,219850.9
臺南市城西垃圾焚化廠,2015,176897.9,38637,221728.8
臺南市城西垃圾焚化廠,2014,163391.8,46670.7,219334.7
臺南市城西垃圾焚化廠,2013,171542.6,39661.56,216011.4
臺南市城西垃圾焚化廠,2012,199637.5,27353.93,231140.9
臺南市城西垃圾焚化廠,2011,199954.3,25470.5,222657.9
臺南市城西垃圾焚化廠,2010,220763.3,19722.65,232997.4
臺南市城西垃圾焚化廠,2009,207738,11392.73,208804.1
臺南市城西垃圾焚化廠,2008,198431.9,16637.46,204641.4
臺南市城西垃圾焚化廠,2007,180922.4,28136.11,205694.7
臺南市城西垃圾焚化廠,2006,187784,21563.59,204082.1
臺南市城西垃圾焚化廠,2005,185927.3,30067.53,220720.9
臺南市城西垃圾焚化廠,2004,197523.6,33812.77,239360.9
臺南市城西垃圾焚化廠,2003,174718,31870.47,221377
臺南市永康垃圾資源回收(焚化)廠,2021,218876.9,48406.03,267344.6
臺南市永康垃圾資源回收(焚化)廠,2020,233482.8,53953.36,276346.5
臺南市永康垃圾資源回收(焚化)廠,2019,251259.6,37512.73,281752.1
臺南市永康垃圾資源回收(焚化)廠,2018,263468,29197.77,288355.8
臺南市永康垃圾資源回收(焚化)廠,2017,266958,25203.94,289757.4
臺南市永康垃圾資源回收(焚化)廠,2016,233374,62607.07,295588.2
臺南市永康垃圾資源回收(焚化)廠,2015,228254.4,66251.62,293469.8
臺南市永康垃圾資源回收(焚化)廠,2014,232934.9,65630.25,297633.8
臺南市永康垃圾資源回收(焚化)廠,2013,240464.4,65710.88,302780.2
臺南市永康垃圾資源回收(焚化)廠,2012,234497.1,67924.23,301253.9
臺南市永康垃圾資源回收(焚化)廠,2011,231150.8,72689.4,301240.8
臺南市永康垃圾資源回收(焚化)廠,2010,218123.1,75840.93,299009.3
臺南市永康垃圾資源回收(焚化)廠,2009,257482,67708.03,301791.1
臺南市永康垃圾資源回收(焚化)廠,2008,231585.8,33399.1,261806.4
臺北市政府環境保護局北投垃圾焚化廠,2021,139709.1,276348.9,405279.4
臺北市政府環境保護局北投垃圾焚化廠,2020,127790.9,280972.2,398801.8
臺北市政府環境保護局北投垃圾焚化廠,2019,165897.3,301928.1,472580.7
臺北市政府環境保護局北投垃圾焚化廠,2018,123799.9,330318,467008.5
臺北市政府環境保護局北投垃圾焚化廠,2017,230299.7,181748.2,401625.9
臺北市政府環境保護局北投垃圾焚化廠,2016,213569.5,180138.3,377565.9
臺北市政府環境保護局北投垃圾焚化廠,2015,207887.7,167517.5,374874.8
臺北市政府環境保護局北投垃圾焚化廠,2014,192371.5,152132.7,343783.3
臺北市政府環境保護局北投垃圾焚化廠,2013,189746.7,193796.2,373289.5
臺北市政府環境保護局北投垃圾焚化廠,2012,185233.2,197095.2,375350.8
臺北市政府環境保護局北投垃圾焚化廠,2011,194176.9,218264.7,405770.8
臺北市政府環境保護局北投垃圾焚化廠,2010,200111.1,127953,326227.3
臺北市政府環境保護局北投垃圾焚化廠,2009,205026,101214.4,303475.8
臺北市政府環境保護局北投垃圾焚化廠,2008,188422.3,88473.29,275634.4
臺北市政府環境保護局北投垃圾焚化廠,2007,201314.8,50539.32,259238.6
臺北市政府環境保護局北投垃圾焚化廠,2006,213413,46897.04,262482.1
臺北市政府環境保護局北投垃圾焚化廠,2005,248646.7,48019.58,290190.6
臺北市政府環境保護局北投垃圾焚化廠,2004,299664.5,60401.17,345223.3
臺北市政府環境保護局北投垃圾焚化廠,2003,290929.8,64344.62,336904
臺北市政府環境保護局木柵垃圾焚化廠,2021,116480.5,142584,251558.8
臺北市政府環境保護局木柵垃圾焚化廠,2020,100942.6,141878.4,241757.5
