工廠名稱,工廠市鎮鄉村里,工廠組織型態,工廠登記核准年分,工廠登記狀態,產業類別,主要產品
陳阿明企業有限公司安定廠,臺南市安定區六嘉里,有限公司,109年,生產中,25金屬製品製造業,259其他金屬製品
和陽食品企業股份有限公司柳營廠,臺南市柳營區八翁里,股份有限公司,109年,生產中,08食品製造業、09飲料製造業,089其他食品、092非酒精飲料
亞太竑科技有限公司,新竹縣芎林鄉秀湖村,有限公司,109年,生產中,29機械設備製造業、29機械設備製造業,292其他專用機械設備
冠承工業有限公司,臺中市潭子區潭秀里,有限公司,109年,生產中,25金屬製品製造業、31其他運輸工具及其零件製造業,259其他金屬製品、313自行車及其零件
智惠科技開發股份有限公司,新北市樹林區圳生里,有限公司,93年,生產中,25金屬製品製造業、29機械設備製造業,259其他金屬製品、293通用機械設備、251金屬刀具、手工具及模具
才興精密機械廠,臺南市永康區?行里,獨資,88年,生產中,25金屬製品製造業、29機械設備製造業,259其他金屬製品、293通用機械設備
日皓造紙工業股份有限公司觀音廠,桃園市觀音區樹林里,股份有限公司,86年,生產中,15紙漿、紙及紙製品製造業,151紙漿、紙、紙板
竣豐建材實業,臺南市安定區中沙里,合夥,109年,生產中,23非金屬礦物製品製造業,232耐火、黏土建材及其他陶瓷製品
維兒企業有限公司,臺南市安定區新吉里,有限公司,109年,生產中,29機械設備製造業,292其他專用機械設備
振暘有限公司,臺南市麻豆區寮?里,有限公司,110年,生產中,25金屬製品製造業,259其他金屬製品
啟銨工業股份有限公司,彰化縣北斗鎮中寮里,股份有限公司,109年,生產中,25金屬製品製造業,259其他金屬製品
冠利有限公司新營廠,臺南市新營區太北里,有限公司,109年,生產中,08食品製造業,083蔬果加工
誠泰國際食品有限公司,桃園市蘆竹區內厝里,有限公司,109年,生產中,08食品製造業,089其他食品
遠通氣密窗有限公司蘆竹廠,桃園市蘆竹區海湖里,股份有限公司,81年,生產中,25金屬製品製造業,252金屬結構及建築組件
誠品科技實業有限公司,臺中市神岡區豐洲里,有限公司,108年,生產中,22塑膠製品製造業,220塑膠製品
葉義興企業股份有限公司,嘉義縣竹崎鄉灣橋村,股份有限公司,93年,生產中,33其他製造業,339未分類其他製品
連乙鑄造股份有限公司二廠,臺中市大甲區日南里,股份有限公司,96年,生產中,25金屬製品製造業,254金屬加工處理
一協茂鐵網有限公司,臺中市潭子區大富里,有限公司,109年,生產中,25金屬製品製造業,259其他金屬製品
臺中市潭子區農會碾米廠,臺中市潭子區東寶里,農會組織,109年,生產中,08食品製造業,086碾榖、磨粉及澱粉製品
龍漳企業有限公司,彰化縣秀水鄉安溪村,有限公司,109年,生產中,22塑膠製品製造業,220塑膠製品
重新傷殘用具製造廠有限公司,新北市新莊區興漢里,有限公司,59年,生產中,33其他製造業,332醫療器材及用品
介隆興齒輪股份有限公司梓官廠,高雄市梓官區梓平里,股份有限公司,83年,生產中,25金屬製品製造業、29機械設備製造業、30汽車及其零件製造業、31其他運輸工具及其零件製造業,259其他金屬製品、293通用機械設備、303汽車零件、312機車及其零件
安泰汽車興業股份有限公司,桃園市蘆竹區內厝里,股份有限公司,94年,生產中,30汽車及其零件製造業,303汽車零件
均緯科技有限公司,臺南市仁德區太子里,有限公司,109年,生產中,29機械設備製造業,293通用機械設備
俊凱科技有限公司,臺南市永康區?洲里,有限公司,103年,生產中,25金屬製品製造業,251金屬刀具、手工具及模具
元裕陶瓷工業社,新北市鶯歌區鳳祥里,獨資,81年,生產中,23非金屬礦物製品製造業,232耐火、黏土建材及其他陶瓷製品
泰錡金屬工程有限公司苑裡廠,苗栗縣苑裡鎮社苓里,有限公司,107年,生產中,25金屬製品製造業,254金屬加工處理
總盈汽車股份有限公司一廠,臺南市永康區三民里,股份有限公司,108年,生產中,28電力設備及配備製造業,289其他電力設備及配備
利宏興業有限公司,新北市新莊區國泰里,有限公司,109年,生產中,08食品製造業,089其他食品
嘉美行,高雄市田寮區西德里,合夥,109年,生產中,14木竹製品製造業,140木竹製品
豪億企業股份有限公司,高雄市湖內區太爺里,股份有限公司,84年,生產中,25金屬製品製造業,254金屬加工處理、259其他金屬製品
鍱德股份有限公司,桃園市觀音區廣興里,股份有限公司,99年,生產中,22塑膠製品製造業,220塑膠製品
晉升機械工程有限公司,高雄市大寮區江山里,有限公司,109年,生產中,29機械設備製造業,293通用機械設備
實安國際有限公司,新北市新莊區福營里,有限公司,110年,生產中,22塑膠製品製造業,220塑膠製品
佶優科技股份有限公司,新北市土城區沛陂里,股份有限公司,79年,生產中,22塑膠製品製造業,220塑膠製品
吉光片羽股份有限公司,新北市中和區碧河里,股份有限公司,109年,生產中,08食品製造業,089其他食品
鉅烽科技股份有限公司,臺中市潭子區栗林里,有限公司,95年,生產中,25金屬製品製造業、29機械設備製造業,251金屬刀具、手工具及模具、259其他金屬製品、291金屬加工用機械設備
立匯工業有限公司四廠,臺南市仁德區仁義里,有限公司,109年,生產中,33其他製造業,331育樂用品
